country,age_0_9,age_10_19,age_20_39,age_40_59,age_60_79,age_80_plus,source_year,source_sheet,source
Argentina,0.12879447296866928,0.1597531502734024,0.2995804651670498,0.2410814484254045,0.14091438147087296,0.029876081694601212,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Australia,0.11571355718275053,0.12261931162963956,0.2722886083078588,0.2515304537780159,0.1911308122858634,0.04671725681587169,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Austria,0.09358282491588922,0.09597211807354614,0.24659008639201266,0.2777838858827503,0.22323058988712882,0.06284049484867299,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Belgium,0.09964253406633422,0.11650142453146857,0.24651176674644082,0.2606482674855168,0.21914746164999363,0.05754854552024589,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Brazil,0.12627345196347928,0.13663872883725925,0.3022003181628439,0.26863821213805655,0.1457212233469191,0.02052806555144188,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Canada,0.09723047905008342,0.10748529103659922,0.2724750286735351,0.25301388304248024,0.21990967216535473,0.049885646031947346,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Chile,0.10292190991092061,0.12416109308793323,0.30525237235334424,0.2664509843719922,0.16753739856266295,0.033676241713146794,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
China,0.09027633261729764,0.12358142483514258,0.269582917513506,0.3012517641334586,0.1892346625595593,0.026072898341035888,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Colombia,0.13222149692538518,0.1409566854848175,0.32901793933738044,0.2466836262527939,0.1345462329596435,0.01657401903997941,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Denmark,0.10363994577598995,0.11059562279560857,0.2597223959922079,0.25039920819750816,0.21710403669666692,0.058538790542018534,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Egypt,0.2067590493653141,0.2020280284131774,0.3057286313764719,0.2014934280808159,0.07915848668850578,0.004832376075714888,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Finland,0.08772774207878091,0.11294874326677815,0.24405256707792064,0.24838576505253696,0.24349702431628806,0.06338815820769528,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
France,0.10337458117253483,0.12126221222130935,0.23644690590343886,0.2506235314834047,0.22480141256209443,0.06349135665721785,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Germany,0.09285206758871205,0.09202472368906436,0.232372051005438,0.26595711788515874,0.24188105239204993,0.074912987439577,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Greece,0.07963818127952399,0.10279177825953509,0.2066958085519901,0.2987715523670785,0.23584346248701243,0.07625921705485984,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
India,0.15776730863231694,0.17074329596318052,0.33349687305925757,0.2271588065533406,0.09978179180761217,0.011051923984292177,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Indonesia,0.15723726982133954,0.16767098327908497,0.3010472632511068,0.25551912818884615,0.10769751658868212,0.010827838870940342,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Iran,0.14153710478842246,0.14899729522535843,0.30778549831822766,0.2754454799617835,0.11390186256675278,0.012332759139455142,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Iraq,0.237424345673255,0.22754145859019675,0.31129760858466515,0.16735715579671231,0.05184240480601192,0.004537026549158889,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Ireland,0.11406971576508763,0.13627857670224355,0.2501111992583325,0.2818675597522928,0.17805040618578724,0.03962254233625638,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Israel,0.18363484857726511,0.168628776138059,0.26985276784442624,0.21194254958178005,0.13617005582693323,0.029771002031536545,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Italy,0.07229987153879214,0.09341648144785486,0.2152291624187227,0.29168097864514175,0.24832922656479045,0.0790442793846982,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Japan,0.06965509886199074,0.0886918313657082,0.20124332148240914,0.277859397458621,0.2558459009919614,0.10670444983930959,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Kenya,0.24404764837887047,0.233975461779272,0.31970826746294717,0.15311011425413215,0.04432543922897136,0.004833068895807009,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Malaysia,0.1346749629591417,0.1558607829631119,0.3498830446676646,0.2402045114550797,0.1069120801533433,0.012464617801658901,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Mexico,0.15607692185265437,0.1693108250364351,0.316583527161305,0.23245220994202972,0.10939338855251621,0.016183127455059575,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Morocco,0.1652133173496133,0.1713393850812773,0.30108046234826935,0.23544797567157771,0.11571152490569404,0.01120733464356816,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Netherlands,0.09834350575977231,0.10612989641419583,0.26556164858878256,0.2526283166580539,0.2255939571868017,0.05174267539239363,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
New Zealand,0.11578335760074594,0.1273992512041835,0.27390054530751645,0.24639354260239968,0.19414929723515248,0.042374006050002105,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Nigeria,0.2777313756033208,0.24054074280991,0.29090741749718235,0.14194104700969476,0.0454589077193903,0.0034205093605019,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Norway,0.10196767922724077,0.1182682025533734,0.268505323870177,0.2615743247773325,0.20039636703858088,0.04928810253329542,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Pakistan,0.24509824344200082,0.2244250351906323,0.3054129400574594,0.15708062643765802,0.06235440513630393,0.005628749735945487,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Peru,0.15561409696394954,0.16403441453940107,0.31661775362083067,0.23077585707007892,0.1119624897311525,0.020995388074587295,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Philippines,0.17129284015756469,0.19789114302891475,0.3349124479541114,0.2051945353061135,0.08490441302469874,0.0058046205285971035,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Poland,0.09155317861520844,0.10672575859786458,0.24206200431586455,0.29267604381589274,0.2235175199479708,0.04346549470719884,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Portugal,0.08342771712590295,0.09332703024880297,0.21640266337336267,0.2870642332111823,0.24665425162628657,0.07312410441446265,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Russia,0.10483017911303436,0.12219212538104769,0.2505386121816802,0.27909478541739985,0.20996599223153992,0.03337830567529789,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Saudi Arabia,0.15817508877425454,0.149932428460437,0.40426589425408455,0.2341153506383438,0.04903441001890627,0.00447682785397396,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Singapore,0.0790959417450922,0.08964689349742366,0.3770428820849125,0.25766026487246096,0.16862956181067154,0.02792445598943917,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
South Africa,0.1759714933063754,0.1652471033955313,0.33650724336163446,0.21875001327275026,0.09190482395182399,0.011619322711884622,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
South Korea,0.0580312634385145,0.08869877065411705,0.2534185751863285,0.3163101528799909,0.23460384924974254,0.04893738859130658,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Spain,0.0775293851792478,0.10256010247492804,0.2202815567305363,0.3118772102493805,0.22287766466614986,0.06487408069975756,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Sweden,0.10757450312870867,0.11909751419608801,0.2568951187490458,0.24889409253372993,0.20507237135782008,0.062466400034607544,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Switzerland,0.09844450583961975,0.10003961568602744,0.24572893559258907,0.2811800400505943,0.2142163161426533,0.06039058668851617,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Thailand,0.08888167658181641,0.1145710932175338,0.2745889293309595,0.2947206140285412,0.1934591734697957,0.03377851337135342,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Turkey,0.13344726180608393,0.14878672084001734,0.2995141347662495,0.26315838392573926,0.1363632138823161,0.018730284779593813,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
United Arab Emirates,0.10767649391856163,0.09654737352370882,0.5107954345143664,0.24620007050943069,0.03701969857218404,0.001760928961748634,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
United Kingdom,0.10785695741856505,0.12241112163323575,0.2553082107421625,0.2564227616548218,0.20396513904266522,0.05403580950854982,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
United States,0.11034241854005336,0.12638536590257587,0.2700473801360321,0.24733403866608242,0.20391424041249978,0.04197655634275647,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
Vietnam,0.1430704256174895,0.1588502902212352,0.2929370816567055,0.26046049368412594,0.12943207828200107,0.015249630538442745,2025,Medium variant,UN_WPP_2024_medium_variant_population_by_5year_age_groups_both_sexes
